Disease,Treatment
Osteoarthritis,"- Pain relievers (acetaminophen, nonsteroidal anti-inflammatory drugs),  Physical therapy,  Assistive devices (braces, canes),  Joint injections (corticosteroids, hyaluronic acid)"
Paralysis (brain haemorrhage),"- Emergency medical care (call 911),  Treatment of the underlying cause,  Rehabilitation therapy,  Supportive care"
Paroxysmal Positional Vertigo," Canalith repositioning maneuvers (Epley maneuver),  Medications for nausea and dizziness,  Vestibular rehabilitation therapy,  Lifestyle modifications (Avoiding head movements)"
Peptic ulcer disease," Antacids,  acid-reducing Medications (H2 blockers, Proton pump inhibitors),  Antibiotics (if caused by H. pylori infection),  Lifestyle modifications (diet changes, stress reduction)"
Pneumonia," Antibiotics (specific to the type of pneumonia),  rest and fluids,  Analgesics for fever and Pain relief,  Oxygen therapy (in severe cases)"
Psoriasis," Topical Corticosteroids or other Medications,  Phototherapy (exposure to ultraviolet light),  systemic Medications (Oral or injectable),  Lifestyle modifications (moisturizers, stress reduction)"
Tuberculosis," Antituberculosis Medications (combination therapy),  Directly Observed therapy (DOT),  infection control measures (Isolation, respiratory hygiene),  treatment of complications (if present)"
Urinary tract infection," Antibiotics (specific to the type of bacteria),  increased fluid intake,  Urinary tract Analgesics,  Urinary hygiene practices"
Varicose veins," Compression stockings,  Leg elevation,  exercise and Regular Physical activity,  Sclerotherapy or other vein treatments (in severe cases)"
Infection," Identification and treatment of the specific infection,  Antibiotics (for bacterial infections),  Antiviral Medications (for viral infections),  Antifungal Medications (for fungal infections)"
infection,eat healthy
